 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:52
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
    11111  0.4709900E+03  0.10291E+00    2    39226     4     1     T
    11134  0.4719900E+03  0.16450E+00    3    39274     4     1     T
    11139  0.4729900E+03  0.24750E+00    5    39294     4     1     T
    11162  0.4739900E+03  0.16450E+00    4    39349     4     1     T
    11188  0.4749900E+03  0.11686E+00    4    39418     4     1     T
    11215  0.4759900E+03  0.84060E-01    3    39492     4     1     T
    11240  0.4769900E+03  0.10575E+00    4    39557     4     1     T
    11267  0.4779900E+03  0.11768E+00    6    39633     4     1     T
    11291  0.4789900E+03  0.12337E+00    3    39689     4     1     T
    11317  0.4799900E+03  0.88123E-01    4    39761     4     1     T
    11325  0.4809900E+03  0.19800E+00    4    39789     4     1     T
    11348  0.4819900E+03  0.16450E+00    4    39844     4     1     T
    11467  0.4829900E+03  0.14179E-01    5    40359    -4     1     T
    11513  0.4839900E+03  0.67281E-01    5    40560     4     1     T
    11530  0.4849900E+03  0.71845E-01    4    40625     4     1     T
    11666  0.4859900E+03  0.10472E-01    4    41264    -4     1     T
    11728  0.4869900E+03  0.29067E-01    5    41525    -4     1     T
    11795  0.4879900E+03  0.58924E-01    4    41799    -4     1     T
    11819  0.4889900E+03  0.16417E+00    5    41859    -4     1     T
    11863  0.4899900E+03  0.53587E-01    4    42121     4     1     T
    11893  0.4909900E+03  0.64586E-01    4    42212     4     1     T
    11917  0.4919900E+03  0.16523E+00    5    42273     4     1     T
    11923  0.4929900E+03  0.19800E+00    4    42294     4     1     T
    11983  0.4939900E+03  0.53137E-01    4    42535    -4     1     T
    12054  0.4949900E+03  0.24452E-01    5    42833    -4     1     T
    12108  0.4959900E+03  0.69983E-01    4    43141     4     1     T
    12197  0.4969900E+03  0.25518E-01    4    43535    -4     1     T
    12250  0.4979900E+03  0.58742E-01    4    43839     4     1     T
